id,entid,CaseType,EMPNUM,WOMEMPNUM,BUSST,islatest,profit_loss,revenue,sales_cost,sales_tax,sales_expense,G_expense,finance_expense,asset_devaluation_losses,fair_value_change,investment_income,operation_profit,non_operating_income,non_operating_expense,total_profit,assets,assets_re,payrol_expense,main_business_income,main_business_cost,other_business_income,other_operating_cost,retained_profits,income_tax_adjuste,incometax_actual,ENTTYPE,INDUSTRYPHY,REGCAPCUR,RECCAP,PARFORM,Unnamed: 0_y,NAME,industry_tax,registertype,economic_type,incometax_rate,collection_type,avg_EMPNUM,std_EMPNUM
2191,486412462,4,6.5,6.333333333,1,1,0.373642559,0.014106262,0.070114933,0.437427946,3599.035778,4170.050924,17.54394876,0.564022796,0.864208935,0.587651632,-6578.288573,-0.810681317,1.486074788,-6578.85029,6131575.252,7623997.971,0.171116665,0.485233976,1.106130157,0.583752536,-0.351949421,-2017.30826,-11141.47189,0.395149463,3,5,1,1000,0,9426,2,2,8,67,0.25,0,1.666666667,0.577350269
565,583114121,4,179.5,94,1,1,0.433532565,-0.350822216,0.937731822,1.248226168,-0.216186795,0.316527902,-0.194088531,1.492957866,-0.139061351,0.054264026,-0.32103006,-1.169596991,-1.124082237,0.379243606,0.442881279,-0.130502873,0.105059884,1.511985456,0.123588035,0.544985279,-0.042826765,0.721701513,0,-0.784964904,32,9,1,0,0,4618,3,2,9,36,0.25,0,77,0
424,925143437,4,6.75,3.333333333,1,1,0.112729885,-0.589107056,1.723212455,0.648040542,-0.888496467,17257.28656,-0.738156871,-0.012241832,-0.804075056,-0.310666998,-17256.98458,1.056084055,0.074712835,-17257.02992,2.668090473,1.462306751,0.895160505,0.910916307,0.381706891,-0.196065399,-1.013570347,0.77811464,-34511.69027,-1.033442179,3,9,1,0,0,0,0,2,19,55,0.25,0,2.5,0.707106781
1177,1085857349,4,0,0,0,1,0.817566281,-0.492014284,0.13455582,-0.104913457,330.967003,119741.7217,-347.5148396,2.232044428,0.704078681,0.852081939,-119725.9577,-0.109298824,-1.465214185,-119726.0573,51.20846776,50.24255037,0.757419018,1.75990952,1.649482945,0.421230828,-0.944935282,-2.223695859,-223748.0515,-0.588714169,3,11,1,0,0,3334,0,2,8,55,0.25,0,7.5,2.121320344
1321,690424336,4,2.75,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,11,1,0,0,3263,0,0,0,0,0,0,0,0
1190,182860089,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1,0,0,10514,2,0,0,0,0,0,0,0
260,1079431533,4,1.75,4.666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,9,1,0,0,1085,2,0,0,0,0,0,0,0
1984,696234642,4,9,3.5,1,1,-1.026897158,1.015438828,0.129924957,-0.882682034,0.506677712,0.906299664,0.684785394,1.21309488,-0.010854882,0.439641497,0.014789621,1.139561207,-0.711781178,0.063801055,0.067863572,-0.69363538,-0.1653914,0.347632556,-0.820276062,0.653055738,-0.47847545,0.5331915,0,-1.255497658,3,9,1,5000,0,9662,11,0,8,195,0,2,5,0
322,1099012275,4,0,0,0,1,-0.096292389,0.036542408,0.099304451,-1.011644311,0.763486699,-0.431809121,-1.308627118,1.951358555,-1.458512011,1.358755094,0.402229056,0.311251844,-1.596078169,-1.16926308,1.952125869,-0.255847574,1.747653588,1.210424339,0.086695413,-0.148621259,-0.516290984,-0.565255664,0,0.375111344,5,5,1,0,0,0,1,0,19,134,0,2,7,0
2246,290278547,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,5600,0,0,0,0,0,0,0,0,0,0
742,327606212,4,0,0,0,1,0.369959486,-1.991740879,-0.354100553,1.445342821,2.746481872,-0.921231297,1.540042589,0.433908129,0.486732099,-1.166473244,0.355252873,1.02103325,-0.588894596,1.335964127,0.698850847,-0.273324428,1.829207609,-1.031703688,-0.586650009,-0.108060086,-0.032032392,-1.142670482,0,0.232264817,3,11,1,0,0,0,1,2,19,23,0.25,0,2,0
1115,691939625,4,0,0,0,1,0.169449243,1.998170075,-0.185912428,2.761449782,-0.894528164,642.3327104,45.14431764,0.033724423,-0.066833497,-1.34775208,-687.1956913,1.331817964,0.494560699,-686.4335669,48.72992925,50.61066119,0.368341815,0.107228107,-0.709442283,0.628039561,-0.895972136,0.681451091,-1375.396437,1.090982169,5,11,1,0,0,0,0,2,8,55,0.25,0,2,0
1136,71374755,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1,0,0,0,1,0,0,0,0,0,0,0
644,593631230,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,1,100,0,0,2,2,8,61,0.25,0,0,0
480,375798270,4,0,0,0,1,-0.877520436,-1.358216283,0.783871873,-1.543564629,1.806123244,1.885777789,0.838069916,-0.891271136,-0.180558748,-0.303099556,-1.121424875,0.802227402,1.139809002,0.123015634,2000.448258,2000.451764,1.242261662,1.024409546,-0.043944113,0.471199195,-0.002759412,-0.131125685,0,-0.562442334,17,11,0,0,0,0,1,2,19,55,0.25,0,3.5,0.707106781
19,5066338,4,0,0,1,1,-0.663989385,-1.460130759,-0.306650669,-1.109348993,0.158179385,164500.3391,-0.573396621,0.670158181,0.536077482,0.768835397,-164499.8753,-0.132403362,-0.916627616,-164499.0382,0.278379278,1.379917937,108999.6227,0.949278314,-0.307166016,0.334359348,-0.060512968,-164500.1031,0,0.858305267,17,11,1,0,9,6039,0,2,8,56,0.25,0,3.333333333,1.154700538
1199,138665184,4,0,0,0,1,0.335698504,-0.272660961,-0.75920022,-0.561568566,-0.364004093,0.97267368,-1.075945296,-0.770013336,-0.298325941,1.026726898,0.512881133,-0.278709315,-0.045762534,-0.236657044,0.176091115,-0.088991793,0.541447392,-0.097129113,1.647494149,0.65566736,-0.926346624,1.049666464,0,-0.150690547,3,11,1,0,0,0,1,0,8,211,0,2,3,0
1578,322323136,4,8,0,1,1,-0.501625359,0,0,0,0,12590.98522,0,0,0,0,-12592.30642,9999.169451,0,-2592.059721,1999999.65,2000001.256,0,0,0,0,0,0,-2591.748242,0,7,11,1,0,0,0,0,2,8,56,0.25,0,2,0
701,667618892,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,2,0,0,0,0,0,0,0
880,1229308413,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1,0,0,0,0,0,0,0,0,0,0,0
479,715299087,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1,0,0,5273,1,0,0,0,0,0,0,0
77,50899367,2,89.66666667,58,1,1,0.361115376,1.311573903,-0.479781836,-0.309427061,0.009929696,-0.37219174,-0.351787542,0.502663446,-0.404935264,-0.371908556,0.658832163,0.702493247,0.725128874,0.287214301,0.744641867,-0.19286741,0.152883437,0.597888565,2.375674772,0.2604316,0.055593978,-1.792718493,0,0.458259942,27,9,1,0,0,5762,2,2,9,36,0.25,0,114,0
1729,492405943,4,11.16666667,7.5,1,1,1.269137495,0.758545681,-0.372246946,1.981474145,-0.790637976,0.882964476,-1.518544956,-0.749083978,2.263661472,-0.814174773,1.097526764,0.326217014,1.857651637,0.245356868,16199999.5,16200000.94,-1.540028788,0.385968389,-0.802262408,1.464364045,1.303006562,-0.55213168,0,-0.035861662,3,11,1,100,0,8176,0,0,8,214,0.25,2,20,0
1874,971837647,4,0,0,1,1,-0.648671651,0.660691235,-1.418024134,-0.975343841,1.061643052,0.986235382,0.527407398,0.536422047,-0.446065629,-1.205936917,-1.589618022,0.43684997,-0.35467951,2.744199325,-0.366908431,0.21139049,0.977062847,0.039490137,-1.545952736,-0.918882302,1.856043699,-1.24207544,0,-0.13516444,3,11,1,200,0,10566,3,2,8,79,0.25,0,10,0
1950,1145588094,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,10,1,5000,1,10430,3,0,0,0,0,0,0,0
734,827852465,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1,10,0,0,1,2,8,61,0.25,0,0,0
760,523896827,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,1,0,0,0,0,0,0,0
169,606066033,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,1,0,0,0,0,0,0,0,0,0,0,0
2421,1090847978,2,256.5,128.3333333,1,1,-0.858249631,0.160203965,0.510315928,-0.087726505,1.184811045,-0.231469918,-1.067497262,-0.499413236,1.49182606,1.079452972,-0.789368793,0.187737654,-0.752528447,0.822733485,-1.160332202,-1.411640625,1.089067229,-1.635054499,-0.632783174,0.316744929,0.398112192,-1.081222207,0,0.805125373,29,9,1,0,0,5634,2,2,9,38,0.25,0,202,0
531,695526356,4,11,0,1,1,-1.314811314,0,0,0,0,52697.45481,-6020.710164,0,0,0,-46675.93048,0,0,-46674.37129,100.8241036,100.5820168,0,0,0,0,0,0,-46675.39685,0,3,11,1,500,0,0,2,2,8,67,0.25,0,2,0
1932,31485576,4,5,0,1,1,0.298585175,0,0,0,0,0,0,0,0,0,0,0,0,0,10001.23055,9999.408018,0,0,0,0,0,0,0,0,3,10,1,1000,0,10195,3,0,8,50,0.25,0,4,0
1395,923931235,4,0,0,0,1,0.726245385,-0.064183129,-0.240618194,0.029061252,-0.2786064,1.570265376,-0.005524809,0.405666008,0.785887607,-0.485474405,-1.711431524,0.199498781,-0.412359655,-1.89646924,-0.231277005,-0.131851514,0.779661068,-0.490048794,-0.241166024,-0.181967857,-0.83170866,0.421308429,-3.906163412,-1.16399777,19,11,0,0,0,0,0,2,8,55,0.25,0,1.666666667,0.577350269
462,710072547,4,0,0,0,1,0.242181636,-0.979480924,1.486087764,-0.080102444,0.936975153,1360.39321,-1.088798841,0.185051398,-0.576959538,-0.893120072,-1360.461692,2.131218551,-1.417686096,-1360.533709,14969499.99,14969499.33,-1.510395891,0.62525017,-0.4421801,-0.799249339,0.166310661,0.69037242,-2721.510998,1.410322834,3,11,1,3000,0,2906,4,2,8,66,0.25,0,1,0
894,978177690,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,9,1,0,0,12005,0,0,0,0,0,0,0,0
991,180016517,4,7.333333333,8.5,1,1,-0.100688146,0.302215655,0.267659059,0.459576234,-0.069537067,0.109193194,0.160036317,-0.161430297,-1.080644581,-0.128033967,0.394461878,-0.210446808,0.652999886,0.231954185,50004.6382,100000.7348,0.795582295,-0.013726755,1.161063251,0.402448396,-0.173335194,0.617172468,0,-1.201241211,3,11,1,0,0,0,0,2,8,55,0.25,0,3.25,0.5
1469,860188978,4,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1,490,0,0,0,0,0,0,0,0,0,0
1915,870389928,4,11.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1,100,1,0,3,0,0,0,0,0,0,0
1933,654189391,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,10,1,2000,1,10075,5,0,0,0,0,0,0,0
799,97599295,4,0,0,0,1,0.44954115,-0.454146409,-0.923553552,-1.601161756,-0.257761068,-0.954589902,-1.210138133,0.032859267,-0.458711849,0.821023473,1.224622292,1.305266339,1.030607919,-1.26575128,1.111668496,-0.953741468,-1.252759707,1.178070535,-1.759929825,-0.238168195,-0.003748654,0.228410601,0,1.38716834,3,11,1,0,0,0,0,2,19,55,0.25,0,2,1.414213562
1510,140294893,4,9,8,1,1,-0.630547316,0.009842267,0.120593045,-0.18752231,0.075765643,0.496684276,0.469643679,-0.408871107,0.384697729,0.32338199,-1.380517947,0.46856771,0.694158216,0.337525753,3332.932324,3333.51138,-0.08452747,-0.377375911,1.145660807,-0.588321629,0.21056646,1.295558156,0,-0.64646869,27,9,1,0,0,2580,3,0,9,36,0.25,0,9.75,5.852349955
1765,1059635469,4,4,5,1,1,-0.028552302,-0.463731613,0.29660512,-0.858584984,-0.906511228,65454.26885,332.8071309,-0.309880905,0.110601711,0.493291097,-66119.92315,0.208276606,-0.063831948,-66120.62023,49999999.42,49999999.16,-1.001074349,-0.341825898,-0.413406035,-0.543566966,-0.036827301,-66119.94104,0,-0.033397498,3,10,1,0,0,0,8,2,8,50,0.25,0,4.333333333,2.886751346
232,108321720,4,10.5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,9,0,0,0,10310,1,0,0,0,0,0,0,0
136,954239726,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1,0,0,0,0,0,0,0,0,0,0,0
26,1180983562,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,200,9,5788,2,0,0,0,0,0,0,0
388,766344392,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1,100,0,4516,0,0,0,0,0,0,0,0
1914,333686413,4,10,0,0,1,-0.559389234,-0.66814772,-1.220393332,-0.921420178,-1.062319366,436705.4438,212.6490552,-0.109111409,0.07942517,-0.041316833,-436921.0153,-0.026351251,17499.33809,-454421.1493,2619956.205,2619953.677,0.291154604,-0.246762247,0.726097903,0.167510928,-0.656956867,0.443660764,-833245.9637,-0.883157044,3,10,1,1000,0,9197,3,0,8,49,0.25,0,4.5,2.121320344
786,327447823,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,500,0,3165,15,2,6,48,0.25,0,0,0
1421,1229741895,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1,0,0,3378,3,0,0,0,0,0,0,0
193,585341041,4,6.666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,1,0,0,8570,0,0,0,0,0,0,0,0
290,1015275963,4,10.33333333,6.333333333,1,1,-0.335542742,-0.134168063,1.817822151,1.424680749,0.098455855,0.998774394,-1.403724725,-0.501196099,-0.973111193,-1.25265303,-0.951815301,-0.20162631,-0.372832346,0.225344732,983000.5521,983000.4039,-0.504425158,0.015465238,-0.763026385,-0.13508875,0.584482038,-0.395552959,0,0.669730053,3,11,1,0,0,4918,0,0,8,222,0.25,2,2,1.414213562
1090,181220374,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,1,0,0,0,0,0,0,0,0,0,0,0
987,662876209,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1,0,0,0,0,0,0,0,0,0,0,0
1279,854368587,4,0,0,0,1,0.782593607,0.254818531,0.169331462,-0.111813994,0.586454586,2.558271205,0.956167644,-0.85781723,1.053078964,0.504594106,0.230726353,0.998789678,0.567109911,-0.08819191,0.457782935,0.256323306,-2.367525518,0.670118286,-0.399025578,0.569893041,0.398124377,-1.107145481,0,1.955374101,17,11,0,0,0,2768,0,0,8,211,0,2,2,0
619,29156211,4,5.6,2,1,1,0.252508472,0,0,0,0,42421.45824,-160.919888,0,0,0,-42264.27129,0,0,-42262.51016,4857738.974,4857739.479,0,0,0,0,0,0,-42260.80807,0,3,11,1,490,0,2163,1,2,8,56,0.25,0,0,0
687,12797847,4,0,0,0,1,-0.095957209,-2.264138514,-0.815216849,1.167064599,-0.445012811,-0.351996876,0.147625223,-0.657426332,-0.390928083,1.414348185,-1.479149162,-0.63412621,-0.143280029,1.629266641,-0.805792755,-1.403454174,-0.18699574,2.128082861,0.643740969,0.626862924,0.534688626,0.955988428,0,0.483760809,17,11,1,0,0,0,0,2,8,23,0.25,0,6,0
129,395461144,4,0,0,0,1,-0.270739165,0,0,0,0,0,0,0,0,0,0,0,0,0,99999.91915,100000.061,0,0,0,0,0,0,0,1799.079284,3,5,1,100,0,7274,0,2,8,74,0.25,1,5,0
1005,1170338772,4,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,1,0,0,0,0,0,0,0,0,0,0,0
234,1231967447,4,20.33333333,10.33333333,1,1,1.597334082,0.154326287,0.528022066,0.208901582,1.244348923,1.265313742,0.473301599,-0.275931009,-0.377266773,1.031230023,-0.807537442,-0.728319867,-0.3885378,-0.716762636,-0.29700416,-0.932812129,-0.395571104,-0.936087455,-0.697328244,-1.325180653,0.112792729,-0.097753383,0,-0.125210074,27,9,0,0,0,517,1,2,9,36,0.25,0,14,0
308,542928036,4,6.2,2.333333333,1,1,0.716183273,-1.127303644,0.430968401,-0.528748603,0.72810876,0.893092286,-0.362084381,-0.369533266,0.626142501,0.750603418,0.084090607,0.062750416,0.640002269,-0.097958098,9999999.819,10000001.33,-0.167800345,-0.563680917,-0.619621015,1.641768952,-0.108833451,-0.907877899,0,-1.127828481,3,11,1,0,0,1842,0,0,8,173,0.25,2,2,0
818,448253308,4,5.8,5.333333333,1,1,-0.440413495,0,0,0,0,13766.05109,441.3192033,0,0,0,-14207.90855,0,0,-14207.58432,0,0,0,0,0,0,0,0,-14207.36701,0,3,11,1,3,0,3690,0,2,19,67,0.25,1,0,0
1299,1085726638,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,1,10,0,0,2,0,0,0,0,0,0,0
1673,807448595,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,5,1,50,0,8359,2,0,0,0,0,0,0,0
2226,635603736,4,18,7.333333333,1,1,-0.109442804,-0.484890344,-0.062653454,0.319420689,0.43926168,2836340.027,258.9421424,-0.403106325,-0.195430444,0.364095701,-2836598.788,20001.27353,10332.55844,-2829598.493,473334.4251,473333.831,662246.4714,0.029030645,1.088927972,-0.00882449,0.38895358,-3566960.049,-539696.9284,-0.104399402,17,11,1,0,1,9219,3,2,8,67,0.25,0,6.666666667,2.886751346
178,968740487,4,5,4,1,1,-0.007859442,-0.259639813,0.385475587,-0.13494162,1.080548535,-0.166476964,0.4126588,0.703196561,0.038547731,0.991627562,-0.313352632,0.09578145,-0.012124139,0.247135974,0.260518958,-0.209738696,0.91933955,0.307922205,1.033496345,-0.191793462,-0.130035818,-0.167402065,0,-0.572179367,6,11,1,30,0,0,0,2,8,61,0.25,0,4.333333333,2.886751346
1476,106159112,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1,0,0,0,1,0,0,0,0,0,0,0
529,1133313391,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,1,10,0,0,1,0,0,0,0,0,0,0
621,786225410,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,1,0,0,0,0,0,0,0,0,0,0,0
185,995243158,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1,500,0,0,0,2,8,73,0.25,1,0,0
1860,1121800093,4,44,11,1,1,0.251531018,9999725.022,1846976.783,706742.5958,958910.1247,6498984.974,1459422.01,3845550.13,-0.218633039,1081924.896,-3995462.106,215786.0956,630333.7674,-4410010.678,179383333.5,179383333,1685124.121,6770710.927,1933708.629,6361106.712,0.623878275,-4393960.959,4059749.138,-0.733978867,7,11,1,0,0,8584,22,2,8,42,0.25,0,32.66666667,4.041451884
1442,670991159,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1,3,0,0,1,0,0,0,0,0,0,0
966,1107414197,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,0,0,0,0,1,0,0,0,0,0,0,0
1381,734758428,4,4.333333333,4.5,1,1,0.427581797,-0.392436923,-0.606171251,0.017650693,0.951619397,278578.1429,381.4131637,-0.378933579,0.615990826,129799.4359,-175120.111,0.073965074,0.376331745,-175120.3071,5602283.088,8423999.922,71999.98649,0.165122027,-0.038122315,-1.351666763,0.51208479,-158666.7854,0,-0.108840239,0,11,1,1401,0,4276,1,2,8,45,0.25,0,7,3.829708431
299,115339998,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,50,0,2054,1,0,19,27,0.25,0,0,0
706,1183612658,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1,1000,0,0,1,0,0,0,0,0,0,0
1821,744696426,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1,0,0,0,5,0,0,0,0,0,0,0
